,Number of ratings,Full Review
980,4,Good product
981,4,Very nice
982,4,Value for money
983,5,Good product
984,2,"Phone back panel is very low quality,vibrating while playing music
Voice call is not good if you are connected on wifi. Camera not upto mark."
985,2,Price is too high as compared to features
986,5,"My honest and brief review about this phone:

Performance -
Getting Snapdragon 860 processor in this price is an absolute bargain. It runs BGMI and Genshin Impact smoothly without any lag.

Camera-
It's decent. Not too good, not too bad. Gets the job done. It has many features as well.

Display and Sound-
Sound quality is absolutely amazing in this phone as it has 2 speakers, one at the bottom and other on the back. Display is good too.

Battery-
Due to the blazing fast processor, battery dra..."
987,5,Excellent
988,4,Good product.
989,4,Good
990,5,As expected.worthy
991,5,"It's value for money.. I have used this mobile for one week.. Performance is awesome.. Previously I was using realme 5.After shifting to poco x3 pro... It's really awesome👍.. And thanks for flipkart for early delivered
Performance - 10/10
Camera -10/10
Battery -10/10
Value for money -10/10
I recommend to go for it..because under 20k performance is awesome and I didn't feel any lag in this mobile and everything is smooth with 120hz and sd 860 with 8gb ram.. U can feel the speed..touch respons..."
992,5,Best phone for gaming
993,5,Very good product . No problem
994,5,Those who are ready to buy this under 17-19k then it's for you.
995,5,Super.....
996,4,"Phone is quite good.. If you are a good photographer you'll be able to set the camera accordingly and would be able to click good pictures other wise the pictures are extra sharp..
Battery is amazing
Touch is amazing
Screen is good enough
Performance is awesome..loved playing bgmi
Sound is awesome
I dont mind the weight and vibrations"
997,5,"Performance of this phone is just awesome! If you are a gamer then just go for it! And the battery backup us just amazing, but I feel the battery draining is little bit fast!"
998,5,Value for money 💰
999,4,It's fast. But it have heating issue when playing pubg for over 50-60 min
1000,5,"Good phone, but camera and display not good."
1001,5,Awesome phone at this budget with snapdragon 860 processor
1002,5,"Poco X3 pro is a really performance powerhouse phone, value for money, best for any gamers,get this phone on bbd sale really I am very satisfied with the phone, thanks flipkart. Camera4/5,Battery4/5,Display4/5,Value for money5/5,performance5/5❤"
1003,4,"Phone n its performance is amazing SD 860 is superb, camara should be more batter in this price range, battery is ok overall value for money"
1004,4,Product is good but delivered very late
1005,5,Performance for Gaming is 🔥. Best Budget phone for gaming 👍🏻
1006,5,"Awesome phone at this price range....... 😍happy to have this phone in hands.,...."
1007,5,Good mobile
1008,5,Gaming phone
1009,5,Naic. Phone
1010,5,Good product
1011,5,Good pradoct
1012,5,Most powerful phone at this prize
1013,5,Battery is good fast charging is great Performance is great no doubt but camera quality is really poor.
1014,5,Worth for money
1015,5,Just wow
1016,4,"Best performance
But camera is not so good"
1017,4,Osm phone
1018,4,I like this phone little bit heavy but it's ok 👍
1019,4,Good one
1020,5,Very good but Sun-Times mobile hang few minutes
1021,5,Good performance
1022,5,The best performing phone in low budget is here.. but the battery fall down so fast... But the fast charging charger will solve your problem...
1023,4,battery darin problam
1024,5,Marvelous
1025,3,Did not meet expectations. Disappointed specially about gaming experience.
1026,4,Good & Best
1027,5,Very good
1028,5,"Amazing 😍 product which I brought.... It has a high tech performance... In gaming .
Snapdragon 860 in this budget is soo amazing"
1029,5,Outstanding 😍😍
1030,4,"Beast in performance... If you are a gamer you are gonna love this phone for sure.
a very good product , specially for gaming i tested gaming in this phone continuously
there was no lag and other issues"
1031,5,Nice and powerful best budget phone
1032,5,"Gaming experience is awesome & also camera is very good
performance is awesome over all good mobile value for money..."
1033,5,It's really good
1034,5,Best phone ever in 20k
1035,5,Nyc phone
1036,5,Good
1037,5,Excellent mobile with regional cost
1038,5,NICE
1039,5,Very nice 👍👍👍👍
1040,4,Best mobile phone for pubg players😍No frame drops... Good camera for video recording.but miui has some glitches bcz of worst OS some times it'll feel like phone is lagging when opening apps... Once you open pubg or any other games then you can see real power of SG 860😉🔥I would recommend this for gaming... Best phone in this range... But sad thing is now its prize has droppee from 21k to 19k😑i bought it for 21k
1041,5,Value for money
1042,5,Super
1043,4,Good mobile camera quality
1044,5,Great phone...loved it's performance... i'm moderate user and it performs as expected for me
1045,3,Nice phone
1046,5,Really good devoice
1047,3,It's okay but not good
1048,5,Nice product
1049,4,"Every thing is perfect but back camera it seems to be like 12mp , there is no clarity, apart of camera it is very good phone."
1050,5,Super
1051,5,Super love you felpkart
1052,1,"Worst camera CHEAP CHINESE PRODUCT
Before this device I used poco F1, a good phone with decent performance and camera

But this poco x3 pro

Touch response is not good
Display colors not good

When comes to the camera worst ever , tak thu performance

It's like a 5k phone camera output I hope they will resolve it by software update
But they don't because it's been a year since it's launch



Finally I feel regret for buying this CHEAP CHINA goods

Please 🙏 go for NON CHINESE PRO..."
1053,1,worst phone screen flikere automatically
1054,5,Awsome smarth phone go for it... ☺☺
1055,5,"This is a performance centric phone, and fulfills it.one who is looking for looks and perfect camera should not go for it, but legends should definitely buy it because in terms of performance ,u will not feel regret"
1056,5,Excellent ❤
1057,5,"I just got my phone today...And it was unbeleivable...The 120 Hz refresh rate is awesome...I played BGMI in this phone upo 4 hours and the performance is at the top...So,what did you think for??Grab it today😎😎😁😁"
1058,5,Excellent phone got for lowest price in big billion days sale. Battery is awesome. Performance of phone is very nice. Camera is ok for me. Love ❤ you flipkart and poco team for giving me best phone in my budget.
1059,5,Super phone. Value for money. Nice features
1060,5,Using this phone for the last 2 days. Overall experience was good.
1061,1,"Worst purchase, speaker not working while calling, and automatically disconnecting the calls even there is more signal"
1062,5,Excellent performance.. 👌
1063,5,That is phone so good and performance is high level
1064,5,Simply best
1065,5,Very nice mobile for Gamers Time
1066,5,"Best Phone For Performance Lover
Battery Backup Is Awesome
1:20Min 0-100% Charge
Camera Is Decent..."
1067,2,Display is not working properly.. Don't buy waste of money.. Please don't buy..
1068,5,Nice
1069,5,"Very Good Specs
I met all my low specs😂
Go blindly this flagship is Unbelievable"
1070,5,Good performance & Good camera
1071,5,"Wooowwwwwww!!!
What a phone
What an offerrrrr ...."
1072,5,i love this but after update little bit lag in bgmi game
1073,5,Worth it at this price range... Highly recommended for gamer
1074,5,Very good phone i love it
1075,5,Best gaming phone for this price
1076,5,"Jodddd for gameplay !!
60fps is beast and overall performance is best with 3-4 hrs gaming performance."
1077,5,Super performance
1078,5,"Good phone at this price. I love it ❤❤❤, this is my first poco products, I gifts my wife this poco mobile phone 👌👌👌"
1079,4,Best products ever I had 😍
1080,5,"This Mobile is meant for performance. Performance wise this is BEAST. I felt little disappointment in camera. It wasnt totally bad, in good lighting conditions photos are awesome. When it comes to low light it needs improvement. This phone feels premium, but can't hold in one hand for a long time because this phone weighs 215g. According to me THIS IS THE BEST PHONE UNDER 20K . This phone looks valuee for money"
1081,5,Awesome performance
1082,5,Thanks 👍
1083,5,The phone is value for money 🤑🤑 extreme performance ability. Best for gaming too.
1084,5,Very good mobile
1085,5,Good
1086,5,Super Phone
1087,4,Value for money and excellent performance 👌
1088,5,2good
1089,4,"If u r looking for a overall good phone with a good camera, processor, screen under 20k then go for it"
1090,5,Awesome gaming mobile
1091,5,Awesome for this price
1092,4,Gud value for money
1093,5,"Poco X3 pro is realy good phone
It's a gaming phone"
1094,5,"good mobile,
my fav mobile, delivery is very fast,
only oneday to deliver this mobile,,
*********Thank u flipkart for fast shipping*********"
1095,5,"Good Phone
But Heating 😟"
1096,5,Excellent phone both in terms of performance & camera. A true value for money for gamers.
1097,5,Happy to have it🥰❤
1098,5,Best phone under 20k .... I recommend this phone for middle class and perfect for gaming....
1099,5,Very nice performance
1100,5,Superb In Everything But Camera quality is Slightly Low
1101,3,Network issues have started after 3 months of usage
1102,5,"Osm Mobile phone , best gaming phone , but camra not good"
1103,3,Price been reduced during big billion days. Worth buying in offer. Back camera is okay not poor. Selfies are not much attractive. Overall satisfied with the flagship processor.
1104,4,Nice product but havy weight
1105,5,. performance is super
1106,4,Very good
1107,5,Amazing
1108,5,Good
1109,3,PHONE IS AWESOME BUT MIUI SUCKS
1110,4,"If you wanna buy mobiles wait for big billion days and other sales, I bought it for 21k and in sale it's is 19k, mobile is not upto the mark, I expected alot but it disappointed me, having some heat issue while charging"
1111,3,Camera quality and display quality is not upto mark. less than note 7 pro.
1112,1,do not buy this phone .. buy branded like samsung or any orther . phone back panel is low quality and its vibrating when you play a music .
1113,5,Best phone for pubg and long battery but i don't know why emojis are not updated anyway best phone for gamers 👍
1114,5,😵😵😵😵I am so happy for buying this one😊..it is the on of the best gaming phone under 20k.value for money 🤑
1115,4,As a gaming phone it's good but device is being heated after playing of 15 mins only. Also after the latest update apps are getting crushed and facing the problem like apps are getting closed automatically. Fast charging is good working and night camera is awesome. Overall a good performance
1116,5,It and amazing phone game mind bloowing best phone ever
1117,5,No one can beat outstanding performance
1118,5,The best thing you see in this phone is pubg in ultra hd ultra settings in max setting also the phone runs so smooth with 0 frame drop no lag that's why the phone is #smoothaf
1119,5,This phone are really beast for bgmi or other games
1120,5,Itz a good gaming mob... So smooth and.. Good performance...
1121,5,Nice phone buy it for gaming
1122,2,Bad vibration from speaker
1123,5,Best phone under 20k
1124,4,Performance basis is great but it should be an amoled display.
1125,5,Most powerfull Deavice Buy fast for gaming
1126,5,NICE...
1127,4,Best phone under 20k
1128,4,Awesome phone at this price 🔥
1129,5,Owesome
1130,5,Nice phone best price
1131,1,Very heavy in weight 🤪
1132,5,Outstanding
1133,5,Best gaming phone for under 20k
1134,5,Value for money.. But some times lagging.... Business wattsapp lagging
1135,5,Super
1136,5,Good performance
1137,5,Nice phone
1138,5,Beast mobile under 20k op boltai
1139,5,Nice quality product
1140,5,Very nice
1141,5,"Hi guys, After so many online reviews and mulling over to which phone should i buy - bought POCO x3 Pro in flipkart Big billion days sale. This is a gem of a device. Snapdragon 860 is so efficient, it took only one hour download install my 82 apps from google cloud. Just now got the update and installed flawlessly.

Pros:
Build quality is good.
Display is flawless.
Camera is super nice. Dont believe althose stupid reviews that camera is average. its too good.
Sound is crisp.
Battery backup..."
1142,3,I’m this price u can’t get any other phone.
1143,4,Power House
1144,5,Best for gaming
1145,5,Performance very good
1146,5,Really beast mobile
1147,5,Good..
1148,5,Very good
1149,5,Awesome...
1150,5,"Gud Product , Thank you Flipkart"
1151,5,Very good product
1152,2,worst phone ever from poco
1153,5,Super
1154,5,Value for money phone
1155,5,Wonderful
1156,5,Amazing phone
1157,5,Osm phone ❤️❤️
1158,3,A good gaming phone. Camera is not that good. Performance wise it's good
1159,4,Nice product 👍.
1160,3,"I found some heating issue, under fam no problem
But there is some heating"
1161,5,Beast gaming phone
1162,5,Very good porformance
1163,4,"Some times it laggs, n while playing it heats but overall it is a good mobile for value for money 😀😀😍"
1164,5,"Amazing performance
Really loved it 🥰"
1165,5,Nice
1166,5,Good
1167,5,Best mobile
1168,5,Just top of the line anyone want to buy just go for it👍👍
1169,5,"Well I loved the phone right from the time I bought it. My only disappointment is that it got a lot more cheaper during billion days than what it used to be.
1.There are few MI apps that's totally useless and can't be Unistalled but you can disable them and also disable any data used by them.
Apart from the junk that we get from the MI everything is perfectly fine in this phone I've been using this phone for over three months now and I guess this is the best phone in this range and for the ..."
1170,5,Good mobile
1171,1,"Worest product, I feel very bad for buying this phone, waste of amount,. NO proper solution from customer care also...."
1172,2,Sound is worst and back side vibration
1173,3,"One word to say ""awesome*."
1174,5,Excellent but heating issues
1175,3,"Other than the camera and little bit bugs in the miui
Iam 💯 fully satisfied with poco x3pro.
Performance 💯"
1176,5,Wow
1177,5,Best mobile ever
1178,5,awesome experience on gaming
1179,5,Performance to good 👌
1180,5,Money For worth♥️ Best Gaming Mobile For All I thought That Camera Is Not Good it was just 48mp But Realy I Loved The Camera♥️ Close Your Eyes And U Can Buy This😄♥️
1181,5,So nice Prafamance
1182,5,Nice
1183,4,Worth for money
1184,5,"Excellent, browsing speed is unbelievable, excellent performance"
1185,4,"It's really a good device.. But never upload 90 fps file on bgmi.. It can cause lag issue on custom rooms..
And heating is also an issue but its fine"
1186,1,Heating and vibration.
1187,3,Overall Okay Phone if you are willing to compromise with the Display. :-)
1188,5,Best mobile of price
1189,4,Good
1190,4,Good
1191,2,"Camera not good, phone gets hang, screen gets flickering."
1192,3,"Phone is good but if there is something issue with it the flipkart support team just make you fool all through their so-called processes so if you are buying it from flipkart, don't do it go to poco website or other shopping apps... Well phone is fabulous if you received it in good condition 😂"
1193,5,Nice phone
1194,5,One of the best Phone to buy under 20k
1195,4,Poco x3 video recording problem
1196,5,It's a best gaming phone under 21000
1197,5,"If you love games then buy now 💕 to be honest, after 2 months of usage i feel that this is the one of the best mobile for gameing purposes 💕"
1198,5,Viry nice bahut aachhi mobail
1199,1,"Worst phn used ever since m using smartphones
M not even using it as they denied exchange
There was battery issue...phn doesn't perform properly
Please don't buy"
1200,3,It has heating issue but performance is very good 🤩🤩🤩
1201,5,Too good n amazing
1202,5,Nice phone
1203,4,Awesome smartphone for BGMI
1204,1,Don't buy this phone as it doesn't support Widevine L1
1205,1,After usage of 6 months it has lag slow down performance
1206,4,Overall phone is good in this budget.
1207,5,Good condition. But high heating
1208,5,"Nice one you will not regret having this at price, no lag while gaming or any multitasking"
1209,5,Good choice
1210,5,"The phone came in perfect condition and it is


very good"
1211,5,Value for money...but need improvement
1212,1,"Please dont buy, battery backup not standing half day, network issues also, don't waste money"
1213,5,OSM GAMING PHONE
1214,5,Awesome Mobile Phone Poco x3 pro
1215,1,Hanging too much and touch is not responding properly automatically closes all application while using
1216,5,Nice
1217,1,Product is very bad because software issue. Lag problem. App crushed problem.
1218,5,Nothing's just wowsome... Totally speechless
1219,5,Good 👍 PUBG 😘😘😘😘
1220,5,Best Mobile in this price range .great performance and great battery. Gaming in this mobile is so high tech
1221,5,Good
1222,5,Very nice
1223,5,Delivered as promised! A nice feature phone within budget.
1224,4,"Reviewed after 1 month
*Note*
If you are a gamer then close your eye & buy
Camera is more than expected
Performance(no words)
Battery need some fixes
Although everything is good..😀"
1225,5,beast unleashed in budget
1226,5,Oop nice gaming phone in poco x3 pro
1227,5,Nice phn with best processor and nice cera
1228,5,I experience everything was good and it's work very fast even in game there is lag free experience
1229,5,Best phone under budget
1230,5,Thank you Flipkart ❤️
1231,5,It's a beast... Best phone under 21000...
1232,5,Valuable for money 🤗
1233,5,Best poco phone
1234,4,"Received the product yesterday, thank you flipkart for the early delivery. The camera is bad. It look like the photos are taken in 2MP camera. Sound on speaker is good 👍, you can feel the vibration of the sound on back panel.
It's running smooth without any delays.
Some software features are a bit inconvenient, like- for checking the notifications one has to drag it from top left side and for selecting option like wifi, etc one has to drag from the top right side.
Finger print sensor and..."
1235,1,"I have using thos phone for about 60 days and this phone is getting studing down automatically.. Without pressing any switches.
It was so so good at first. But the gaming experience is to bad now a days in this phone..
I suggest not to buy this phone if you are gamer."
1236,5,"Fantastic mobile, no doubt."
1237,5,Very good phone.
1238,3,Little bit heavy
1239,4,"Good for this price only thing in this phone is the processor SD 860 which delivers smooth performance. And the 120 hz is good but can't say it's stable with all the apps and games. But yes it does it's job in a better way. Overall I would give it 3.8/5 .

Note: Giving a flagship processor in this price segment is really good ."
1240,5,Superb
1241,2,"Not as good as poco f1 very disappointed 😞
Neither its camera nor its performance is upto the mark
36gb is full out of 128 & it started getting hang while working in file manager as well as heat issue is also there
Default Camera software is not as good as it could be... Gives images more sharper images and dark 🌑 exposure to photos
Using it from last 1 month and my personal experiance is that it is not as good as poco f1
So if u are buying this jist because of f1 sorry change your plan ..."
1242,1,Charging time charger heating issues & phone heating issues
1243,5,It is awesome I love it thank you so so much
1244,5,Very nice but heating problem
1245,5,Best for gaming only and using other apps as per processor...
1246,5,Amazing phone
1247,5,its awsome. best for gaming
1248,5,"I am writing this review after using 4 month trust me this gadget is beast ....👌🔥
And value for money best gaming device , beast battery back up camera are average but awesome and sufficient ....❤️
If you are searching for a total phone a complete package then order this .....🔥"
1249,1,Never buy it is not splash proof
1250,5,Awesome budget phone....
1251,5,Amazing performance
1252,5,Great product
1253,5,Best phone at this price range
1254,5,Good!!! But weight is high...
1255,2,Automatic shut down and not switch on.
1256,5,Best
1257,5,Good
1258,5,"Been using this phone for over a month now. Would like to start of by stating that this is a complete performance beast. More than satisfied with it's performance. The sd 860 is really worth the money. Also camera is decent. You can click awesome shots if u want to. But truth be told, expect what you should from a 48mp camera. Otherwise the phone is literally PERFECT. For daily usage AND for heavy intense gaming sessions."
1259,5,The best Gaming Phone In This Range
1260,4,"* God level gaming.
* starts heating at 120hz refresh rate and with
HDR+Extreme setting in bgmi.
* 120hz refresh rate drains battery quickly.
* quad camera=but okay quality.
* overall its ""worth"""
1261,5,Iss too good
1262,5,Amazing products
1263,4,nice phone
1264,5,"A gaming beast under 20000
If you need a smartphone for gaming or performance then this is best for you
And if you want for regular use then you can go for realme x7 max or iqoo 3
But for only gaming poco x3 pro is best.... :)"
1265,5,Excellent indeed.
1266,4,In sale price didn't changed at all. Same Price as before but phone is perfect gaming beast
1267,2,Not more smart options comparing vivo mobile
1268,4,WoW
1269,4,Mobile is good but not price worth
1270,4,Amazing servic flipcart.
1271,5,Nic
1272,5,Beast phone for gaming you get constant 90 fps awesome phone
1273,5,Bulky device but its performance is awesome
1274,5,Good
1275,5,"Damn! Such a flagship performance. The snapdragon 860 is a beast cpu. The camera is also good. It's display is super smooth and has bright and sharp colour. The think which I don't like is it's software. MIUI is full of glitches and bug but after updating it majority of the bugs and glitches are solved. But still, MIUI needs some improvements in it. Overall the phone is very good👍."
1276,5,This is amazing🤩
1277,5,VERY COOL NO LAG HIGH FRAMES CAMERA NOT TOO GOOD + BUT ITS COOL I LIKE IT VERY MUCH NO HEAT ISSUE
1278,1,Iam buying 4months before now problem motherboard
1279,5,Very good phone thank you flipkart
1280,5,Best gaming beast
1281,5,10/10 performance. And value for money phone. Gaming beast this sagment
1282,5,Display touch automatically work after 1 month of perched
1283,5,I ‘ m happy
1284,1,New purchased phone continuously restarting on its own. Don't buy
1285,1,Device lag issue
1286,1,Worst camera ever in the Android phone I purchased.
1287,5,Good product
1288,5,"I want to say that there is no overheating problem with this phone , performance is just awesome I love it , most valuable cooling system it cools within 30 sec after heat
You can able to play at 60fps spontaneously and it's game booster experience is just wow"
1289,5,Super phone thanks flipkart
1290,5,"It's good but battery draing is a critical problem
Other things are just great"
1291,4,Nice product
1292,3,Bad
1293,5,Beast phone 📱🔥🔥👀
1294,4,Nic one
1295,5,Good product
1296,5,Good product
1297,5,Awsome product
1298,5,Satisfactory
1299,3,Key pad not working properly
1300,5,Super Phone 🤳📱
1301,5,Good
1302,5,Awesome mobile
1303,2,Don't buy.. Ghost touch issue
1304,5,Nice phone nice camera nice gaming performance
1305,5,After using two months my phone charging very slowly🤡😕😕😕
1306,5,Best
1307,5,Nice phone
1308,4,"Should update camera quality performance , display under sun is not visible even in full brightness in day light"
1309,5,Lovely awesome
1310,5,Very Nice for Gaming
1311,5,No 1 phone bgmi
1312,5,Good
1313,1,"It is very bad mobile in this range, it gets hang"
1314,5,I love it
1315,3,Good
1316,4,Phone is good on all aspect. But the back case of the phone vibrates while the phone is on high volume in service speaker.
1317,5,Definitely worth the price!! Strongly recommended!!
1318,1,Some bugs were there in this Phone.
1319,1,"Not good for gaming
Just pj"
1320,4,Every thing is good performance battery only the camera is not little good but everything is really good
1321,4,Nice product...... battery is nice....and display also nice ......loved it....
1322,5,Best mobile in my life
1323,5,Superb mobile
1324,1,"Don't buy this phone.. Never
Over heating issue is terrible
Weight is too much
Flipkart will never help you to replace this product... So if you want to buy this product from flipkart please check it offline once.."
1325,5,Nice mobile
1326,4,Nyc product
1327,5,"Good.
Good for gaming .
I love this phone for gaming."
1328,4,Awesome phone just loved it😊😊😊😊😊
1329,5,Good
1330,5,Superb
1331,5,It's Awesome to use... Value for money 😇
1332,3,Touch issue problem and camera quality not good
1333,5,It's perfect
1334,5,Nice and value for money
1335,3,Just ok
1336,5,Superb
1337,5,perfect device for gaming.
1338,5,Except the ui everything is good.
1339,5,I really love 💕 it
1340,3,"Processor is good for pubg and games but battery will dry soon , camera it's just good"
1341,1,Battery and back cover inside minor clearance than whenever music start after camera bottom side high vibration Observe. I request to mi phone improve your back cover fitting.
1342,2,Os is too buggy
1343,2,Back panel vibrating on high sound 😟😟 one major issues
1344,2,"Ph is slow, touch is not good, worst product"
1345,3,Good
1346,5,"IF THERE ARE OPTION TO GIVE 10 STAR FOR SPEED AND PERFORMANCE I GAVE IT 20 STAR.

IT'S LIGHTENING FAST.

FIRST 1-2 DAYS YOU FELL IT BULKY BUT THEN IT BECAME USED TO YOU.

DON'T USE WITH ANY TPU COVER IT MAKE THE PHONE MORE BULKY AND WARM.

JUST GO WITH NORMAL VENYL SKIN IT'S GONNA HELP TO OVERCOME SCRATCH , BULKYNESS , OVER HEATING , AND SLIPPERY BACK.

🛑I CAN SUGGEST YOU WRAPCART SKIN (JUST GOOGLE) ITS GOOD FOR MOBILE SKIN🛑"
1347,5,"Super performance, battery backup, gaming 👌💯"
1348,5,Phone is very good but if you want to use Sim one you can't use memory card that's not good over all phone is good camera is OK ok
1349,5,Osm peverrrr
1350,4,Overall a great phone for gaming but if you used super amoled display before you will miss in this phone but its performance compensate its display.. camera is also good and night photography is also great... Overall recommended phone in this price segment
1351,5,A good phone at the given price.
1352,3,It is ok
1353,1,I am extremely disappointed. I seriously doubt this is a low quality product. My fingerprint scanner is not working after 1 month use. If this is the case after 1month what about 1year. Now I am trying get it to a service point which is far away from my location. I don't suggest this phone that too from this seller and flipkart. Go for any other brands
1354,1,This phone has touch issues and heat issues only performance is good
1355,5,Very good product nice Parking l am very happy
1356,5,Good
1357,5,Nice....
1358,5,"Nice phone ....
Worth it"
1359,5,"Very un satisfied ...its work only 3 month
And now my phone is dead .poco x 3 pro"
1360,5,"I love the Device and trust you won't regret after buying it. Damn this phone is a total beast. Thanks POCO, true poco F1 successor."
1361,5,Veey fast delivery.. And the phone is really amazing performance.. Thank you flipkart
1362,5,Dream Phone
1363,5,I am using it for past 15 days but I have not faced any problem till yet. Camera is good and the performance is incredible. No lagging issue at all. Not faced any problem regarding overheating. Overall its a good phone.
1364,5,Value for money
1365,4,Poco x3 pro is wonder full midrange mobile... Snapdragon 860 is not enough for pubg... But normal use is excellent.. 💯.. Finally camera is very worst...😔
1366,1,"The vibration issue when any sound is played is really annoying. Moreover, the 'home' gesture does not work properly sometimes. Also, the bubble feature of the messages application causes the device to freeze during some instances."
1367,5,camera quality is low
1368,5,One of the best phone
1369,4,Nothing to say
1370,5,No competition for this phone. In this range
1371,1,This Mobile has big issue
1372,1,"Lots of bug.

Sensors and display."
1373,5,It's simply awesome for gaming
1374,4,"Excellent
mobile but not impressive"
1375,5,I like it
1376,4,nice
1377,5,Beast battery gaming smart phone but no 5g
1378,1,Poor
1379,5,"Since I am using the phone right now, I cant click a pic and upload. But I can say for sure that this product is exactly how it looks in the pictures... And worth the price.. Mine is a 8gb device, not encountered any issues yet.. But if I do I will definitely change my review.. 😂😜
Although i think it wont come to that."
1380,5,Good
1381,4,"Display: 3/5
Goes MIA sometimes.
Camera: 5/5
Vlog Mode is mind boggling.
Speakers: 4/5
Loud and crispy speakers.
Performance/Gaming: 4/5
Lags when device starts heating.
Design and Build Quality: 4/5
Budget: 10/5"
1382,4,"Battery life was good,fast charing also good,camera below average,only for gaming it was good mobile."
1383,4,Very good performance
1384,4,Nice
1385,4,Vibrating while playing sounds
1386,5,Osm phone
1387,5,Awesome👏
1388,1,Dont go for it....
1389,5,Nice at this budget
1390,5,Osm.
1391,1,Sensors not working properly. Worst camera. Not opening most of the time. POCO F1 is far better. Lots of bugs in OS.
1392,1,Very bad use
1393,4,Amazing
1394,1,Touch complaints are very high
1395,5,Just An Awesome Performance Of Poco x3 pro
1396,1,Don't buy it has many bugs and problem coz its mi
1397,4,Best performance phone at this price range...
1398,5,If any one want a phone for performance this is the right place for you. Super battery backup super performance but if you want a phone for good camera phone go with note 10 pro max.
1399,2,Camera &display just hated This.... Both are 3rd class.
1400,5,Good
1401,5,Its good
1402,1,"The screen Broke off very easily with 10 days ,worst quality phone I ever purchased. Kept in my bag worst phone ,do not buy it"
1403,5,Very nice phone
1404,5,Excellent
1405,5,This is superb performance I love this phone
1406,3,touch was not perform upto that mark
1407,4,Good phone
1408,5,This is best gaming mobile.
1409,4,"Except camera quality, rest is superb."
1410,5,Beast
1411,1,"Display so poor, camera is not good, performance is good, major problem is USB not support 3.0"
1412,1,There is issue in device
1413,5,Very nice
1414,5,God of mobile
1415,1,Worst product
1416,5,Loved every bit of it...
1417,5,Nice mobile in this budget but not a camera
1418,5,Good
1419,5,Awesome performance
1420,5,Good
1421,5,"Unbelievable gaming device
Nice 👍 price range"
1422,4,Nice
1423,5,I love this phone
1424,5,the product is too awesome!!!
1425,5,King phone in 21000
1426,1,Highly dissatisfied with the phone and the seller
1427,2,"Mobile is over heating
And speaker back side over vibration rec"
1428,5,"Awesome performance.
Best gaming phone under this budget."
1429,5,Awesome
1430,1,this product is not good for working men looking for stunning performance. this is a junk of waste. this product has no quality and standards even upto a 10k phone. really disappointed
1431,5,good 😌
1432,5,Nice
1433,5,Good phone worth it
1434,5,Wroth phone don't buy it frnd
1435,5,"Amazing device,worth for money.many people say it has touch issues but it actually doesn't.cameras are below average but the performance is awesome.battery is also too good

Two things I didn't like in this MIUI

1)If someone calls while gaming the game minimizes and phone option opens.

2)MIUI doesn't support dual audio recording.either u can record internal audio or external audio.u can't record both at a time :("
1436,5,It's the best phone in the range of 20k
1437,4,Ok it is
1438,5,Very good fon
1439,5,"Night🌃 mood I love it
And gaming PROFAMANC is 😍😍😍"
1440,5,Nice 👍
1441,5,"If you are looking for a excellent camera phone then plz don't buy this, if you are looking for performance wise phone then it is a best product for you.
Processor is excellent 865 SD
Very heavy phone
Sound quality of speaker is superb
Otherwise all things are very excellent working
Value for money"
1442,4,Nice
1443,5,Nice
1444,5,Gaming Phone Poco X3Pro
1445,5,Loved it
1446,5,Best mobail thanks for flipkart 👌 👌👌👌 supar first dilivery ♂️
1447,5,Fast deliver nd phn was owsam nd delivery boy was very helpful nd good person
1448,5,Gaming beast
1449,5,Super
1450,5,Nice product
1451,4,Best purchase for performance. 😍love it
1452,5,Good💯
1453,5,Value for money
1454,3,"Yeah device is good for the money!!
But when you call or watching vedios or playing songs device backside is heavy vibration on POCO X3 pro."
1455,5,Bhai very perfect phone full gaming love this product 😇😇
1456,5,Spr
1457,5,The wonderful product
1458,5,Very good gaming performance
1459,5,Nice battery backup
1460,1,"Battery back up is not up to the mark, drying very soon for normal usage also... Heard mobile blasting issue recently have to check what will happen in future...

I'm editing my review after 1 months usage, battery backup is not good as given battery capacity and also 33w fast charger is not fast as starting now it is taking long time to charge like my old mobile... Disappointed with this rest all ok...

I'm editing my review once again bcz I'm facing too much problm with battery, I have vivo..."
1461,5,Best phone
1462,5,As expeted
1463,1,My phone screen is not working properly... This is my 2nd day of using. As i install bgmi today i came to know there is problem in screen
1464,4,awesome phone😍❣️
1465,3,Such a nice phone but battery backup is not to the point around his battery time is 7-8 hrs.
1466,4,Value for pocox3..is good
1467,5,"Great phone for the budget but not a phone for camera lovers
Performance is breathtaking for the price range
Battery back is so good that you can completely rely on the phone for the whole day charge
Display is not that bright but it is ok for use
Sound quality is amazing dual speakers are amazing
Only i had a drawback with camera quality only the rest is best in class more than the price"
1468,5,Best budget phone for gaming... Super performance... But camera is average... Little bit heavy
1469,3,Game des modill
1470,5,The best gaming phone ♥️♥️♥️
1471,5,Good
1472,1,Phone good but camera vey 👎bad
1473,1,"Phone vibrates heavily while playing video or music or even in a call, call clarity is not great and we can hear it outside even without loud speaker. Touch responsive is bad. Such a disgusting phone. Not sure how it got so many positive reviews"
1474,5,Using this phone for the past 1 month and 12 days...and this is extremely a good phone..working very well...and the experience is very smooth..sometimes while playing..there is a little latency on touching...other than that..faced no issues...not even heating too
1475,2,The battery is poor
1476,1,Display problem
1477,1,Not satisfied
1478,5,Good
1479,5,Good
